File,Pg,date,id,Genus,Species,Sex,ta,tb,time,behaviour,Notes,Lat,Long
3.1967_May10_Aug31.pdf,16,1/6/1967,11535,Ctenophorus,isolepis,Female,19.6,36,1310,OS,,-26.0336,128.4169
3.1967_May10_Aug31.pdf,18,4/6/1967,11550,Gehyra,variegata,Unk,,27.6,1300,UC,under 44g drum,-23.35027,129.366944
3.1967_May10_Aug31.pdf,18,5/6/1967,11552,Ctenophorus,isolepis,Unk,19.6,33.2,1650,OS,,-23.1980555,129.559722
3.1967_May10_Aug31.pdf,24,11/6/1967,11610,Ctenophorus,isolepis,Female,20.8,,1050,OS,Went to burrow no Tb,-24.18361111,130.8836111
3.1967_May10_Aug31.pdf,24,11/6/1967,11617,Ctenophorus,isolepis,Unk,23,38.2,1210,SS,,-24.18361111,130.8836111
3.1967_May10_Aug31.pdf,24,11/6/1967,11618,Ctenophorus,isolepis,Unk,24,39.7,1550,OS,,-24.18361111,130.8836111
3.1967_May10_Aug31.pdf,24,11/6/1967,11620,Ctenophorus,isolepis,Female,24.4,37,1525,OS,,-24.18361111,130.8836111
3.1967_May10_Aug31.pdf,28,14/6/1967,11648,Ctenophorus,isolepis,Unk,22.3,33.7,1020,OS,,-24.18361111,130.8836111
3.1967_May10_Aug31.pdf,28,14/6/1967,11649,Ctenophorus,isolepis,Unk,23.8,35.3,1040,AnnS?,Anns/OS,-24.18361111,130.8836111
3.1967_May10_Aug31.pdf,28,14/6/1967,11650,Ctenophorus,isolepis,Unk,24.6,34.5,1050,OS,,-24.18361111,130.8836111
3.1967_May10_Aug31.pdf,28,14/6/1967,11651,Ctenophorus,isolepis,Unk,24.3,35.7,1140,OS,,-24.18361111,130.8836111
3.1967_May10_Aug31.pdf,28,14/6/1967,11652,Ctenophorus,isolepis,Unk,26.8,,1145,OS,ORdS - Open road sun?,-24.18361111,130.8836111
3.1967_May10_Aug31.pdf,28,14/6/1967,11653,Ctenophorus,isolepis,Unk,25,36.3,1200,OS,,-24.18361111,130.8836111
3.1967_May10_Aug31.pdf,28,14/6/1967,11655,Ctenophorus,isolepis,Unk,26,38.8,1410,OS,,-24.18361111,130.8836111
3.1967_May10_Aug31.pdf,28,14/6/1967,11660,Ctenophorus,isolepis,Unk,26.2,34.5,1440,SS,,-24.18361111,130.8836111
3.1967_May10_Aug31.pdf,28,14/6/1967,11661,Ctenophorus,isolepis,Unk,26.5,36.3,1545,SS,,-24.18361111,130.8836111
3.1967_May10_Aug31.pdf,28,14/6/1967,11662,Ctenophorus,isolepis,Unk,25.1,33.6,1715,OS,,-24.18361111,130.8836111
3.1967_May10_Aug31.pdf,30,14/6/1967,11667,Gehyra,variegata,Unk,18.4,17.9,1940,OG,_~72 OG?,-24.18361111,130.8836111
3.1967_May10_Aug31.pdf,30,14/6/1967,11669,Ctenophorus,isolepis,Unk,21.6,31.5,1005,SSh,Edge of spinifex,-24.18361111,130.8836111
3.1967_May10_Aug31.pdf,32,17/6/1967,11684,Ctenophorus,isolepis,Unk,20,22.6,1240,SSh,head in shade; location taken from locality in field notbook,-23.2756,129.3893
3.1967_May10_Aug31.pdf,32,17/6/1967,11686,Gehyra,variegata,Unk,15.4,25.3,1940,OS,on rock; location taken from locality in field notbook,Ê-22.089469909Ê,131.4216766
3.1967_May10_Aug31.pdf,36,15/8/1967,11714,Gehyra,variegata,Unk,20.1,20.4,1900,SSh,location taken from locality in field notbook,-27.9345511,121.3057847
3.1967_May10_Aug31.pdf,36,16/8/1967,11715,Moloch,horridus,Female,12.2,17.1,830,OS,Observed walking; location taken from locality in field notbook,-27.9345511,121.3057847
3.1967_May10_Aug31.pdf,36,16/8/1967,11717,Ctenophorus,isolepis,Unk,19.5,31.6,1400,SS,Millrose study area,-27.5725422,121.2652059
3.1967_May10_Aug31.pdf,36,16/8/1967,11718,Ctenophorus,isolepis,Unk,20,35.9,1520,SS,Millrose study area,-27.5725422,121.2652059
3.1967_May10_Aug31.pdf,36,17/8/1967,11726,Ctenophorus,isolepis,Male,13.6,36,1110,SS,Millrose study area,-27.5725422,121.2652059
3.1967_May10_Aug31.pdf,36,17/8/1967,11727,Ctenophorus,isolepis,Male,17,36.6,1204,SS,Millrose study area,-27.5725422,121.2652059
3.1967_May10_Aug31.pdf,38,18/8/1967,11738,Ctenophorus,isolepis,Female,21.7,37.6,1330,OS,,-26.23361111,121.2169444
3.1967_May10_Aug31.pdf,38,18/8/1967,11743,Gehyra,variegata,Unk,14.2,16.8,1900,OG,5'OG underside dead branch,-26.23361111,121.2169444
3.1967_May10_Aug31.pdf,40,19/8/1967,11753,Ctenophorus,isolepis,Unk,18.9,32.2,910,OS,,-26.23361111,121.2169444
3.1967_May10_Aug31.pdf,40,19/8/1967,11754,Ctenophorus,isolepis,Unk,24,37.6,1055,SS,,-26.23361111,121.2169444
3.1967_May10_Aug31.pdf,40,19/8/1967,11755,Ctenophorus,isolepis,Female,23.9,35.7,1100,OS,,-26.23361111,121.2169444
3.1967_May10_Aug31.pdf,40,19/8/1967,11757,Ctenophorus,isolepis,Female,27.2,37.5,1325,SS,,-26.23361111,121.2169444
3.1967_May10_Aug31.pdf,40,19/8/1967,11758,Ctenophorus,isolepis,Male,26.5,37.8,1513,OS,,-26.23361111,121.2169444
3.1967_May10_Aug31.pdf,40,19/8/1967,11764,Moloch,horridus,Unk,25.3,32.6,1605,OS,Observed walking,-26.23361111,121.2169444
3.1967_May10_Aug31.pdf,40,19/8/1967,11769,Gehyra,variegata,Unk,19.5,20.7,1835,OG,4'OG '1branch ac. bush,-26.23361111,121.2169444
3.1967_May10_Aug31.pdf,42,20/8/1967,11774,Ctenophorus,isolepis,Male,24.1,38.1,1038,OS,seen running in OS,-26.23361111,121.2169444
3.1967_May10_Aug31.pdf,42,20/8/1967,11774,Ctenophorus,isolepis,Male,20.5,33.2,850,OS,W/R in OS?,-26.23361111,121.2169444
3.1967_May10_Aug31.pdf,42,20/8/1967,11779,Ctenophorus,isolepis,Male,27.3,39,1135,Sm AnnSh,,-26.23361111,121.2169444
3.1967_May10_Aug31.pdf,42,20/8/1967,11780,Ctenophorus,isolepis,Male,26.9,39,1139,Sm AnnSh,,-26.23361111,121.2169444
3.1967_May10_Aug31.pdf,42,20/8/1967,11781,Moloch,horridus,Unk,28.2,32.2,1530,AnnS?,,-26.23361111,121.2169444
3.1967_May10_Aug31.pdf,42,20/8/1967,11785,Moloch,horridus,Unk,25.2,21.7,1655,OS,tracked,-26.23361111,121.2169444
3.1967_May10_Aug31.pdf,42,20/8/1967,11788,Gehyra,variegata,Unk,20.7,21.3,1905,OG,3'OG,-26.23361111,121.2169444
3.1967_May10_Aug31.pdf,44,21/8/1967,11792,Ctenophorus,isolepis,Male,20.6,35,837,SS,,-26.23361111,121.2169444
3.1967_May10_Aug31.pdf,44,21/8/1967,11793,Ctenophorus,isolepis,Male,25.2,38.3,1000,SS,,-26.23361111,121.2169444
3.1967_May10_Aug31.pdf,44,21/8/1967,11794,Ctenophorus,isolepis,Male,26.2,38,1030,OS,,-26.23361111,121.2169444
3.1967_May10_Aug31.pdf,44,21/8/1967,11795,Ctenophorus,isolepis,Male,26.2,37.1,1034,SS,,-26.23361111,121.2169444
3.1967_May10_Aug31.pdf,44,21/8/1967,11796,Ctenophorus,isolepis,Female,26.4,39.4,1038,SS,,-26.23361111,121.2169444
3.1967_May10_Aug31.pdf,44,21/8/1967,11797,Ctenophorus,isolepis,Male,26,36.8,1020,OS,,-26.23361111,121.2169444
3.1967_May10_Aug31.pdf,44,21/8/1967,11798,Ctenophorus,isolepis,Female,25.9,37,1040,OS,,-26.23361111,121.2169444
3.1967_May10_Aug31.pdf,44,21/8/1967,11799,Ctenophorus,isolepis,Female,28,37.4,1210,AnnS?,,-26.23361111,121.2169444
3.1967_May10_Aug31.pdf,44,21/8/1967,11800,Ctenophorus,isolepis,Male,27.8,36.6,1214,SS,,-26.23361111,121.2169444
3.1967_May10_Aug31.pdf,44,21/8/1967,11801,Ctenophorus,isolepis,Male,29.5,38.2,1205,AnnS?,,-26.23361111,121.2169444
3.1967_May10_Aug31.pdf,44,21/8/1967,11803,Ctenophorus,isolepis,Female,28.8,36.8,1458,SSh,under shrub in S(dm),-26.23361111,121.2169444
3.1967_May10_Aug31.pdf,44,21/8/1967,11804,Ctenophorus,isolepis,Male,29,37.8,1400,SSh,,-26.23361111,121.2169444
3.1967_May10_Aug31.pdf,44,21/8/1967,11805,Ctenophorus,isolepis,Male,29.4,36.6,1435,SSh,,-26.23361111,121.2169444
3.1967_May10_Aug31.pdf,44,21/8/1967,11806,Ctenophorus,isolepis,Male,27.8,36.3,1555,SS,,-26.23361111,121.2169444
3.1967_May10_Aug31.pdf,44,21/8/1967,11807,Ctenophorus,isolepis,Male,27.8,36.3,1600,AnnS?,,-26.23361111,121.2169444
3.1967_May10_Aug31.pdf,44,21/8/1967,11810,Gehyra,variegata,Unk,20.9,24.1,1823,OG,off ground,-26.23361111,121.2169444
3.1967_May10_Aug31.pdf,46,22/8/1967,11827,Ctenophorus,isolepis,Unk,17.5,32,1040,SS,Millrose study area,-27.5725422,121.2652059
3.1967_May10_Aug31.pdf,46,22/8/1967,11828,Ctenophorus,isolepis,Unk,17.4,34.7,1045,SS,,-26.233611,121.216944
3.1967_May10_Aug31.pdf,46,22/8/1967,11832,Ctenophorus,isolepis,Unk,21.1,35.4,1530,OS,,-26.233611,121.216944
3.1967_May10_Aug31.pdf,46,22/8/1967,11833,Ctenophorus,isolepis,Unk,20.5,37.4,1545,OS,running,-26.233611,121.216944
3.1967_May10_Aug31.pdf,46,22/8/1967,11834,Ctenophorus,isolepis,Unk,20.1,36.1,1555,OS,,-26.233611,121.216944
3.1967_May10_Aug31.pdf,46,22/8/1967,11835,Ctenophorus,isolepis,Unk,20.2,36.3,1600,OS,grass sun,-26.233611,121.216944
3.1967_May10_Aug31.pdf,48,23/8/1967,11846,Ctenophorus,isolepis,Male,17.7,37.2,1118,SS,,-26.233611,121.216944
3.1967_May10_Aug31.pdf,48,23/8/1967,11847,Ctenophorus,isolepis,Female,18.3,38.5,1125,SS,,-26.233611,121.216944
3.1967_May10_Aug31.pdf,48,23/8/1967,11848,Ctenophorus,isolepis,Female,18.2,38.1,1136,OS,,-26.233611,121.216944
3.1967_May10_Aug31.pdf,48,23/8/1967,11849,Ctenophorus,isolepis,Female,16.4,35.5,950,OS,,-26.233611,121.216944
3.1967_May10_Aug31.pdf,48,23/8/1967,11850,Ctenophorus,isolepis,Male,21.2,39.4,1505,SS,,-26.233611,121.216944
3.1967_May10_Aug31.pdf,48,23/8/1967,11852,Ctenophorus,isolepis,Male,21.9,38.3,1425,AnnS?,,-26.233611,121.216944
3.1967_May10_Aug31.pdf,48,23/8/1967,11854,Ctenophorus,isolepis,Female,20.9,35.8,1512,OS,,-26.233611,121.216944
3.1967_May10_Aug31.pdf,48,23/8/1967,11855,Ctenophorus,isolepis,Male,19.8,37.2,1520,OS,,-26.233611,121.216944
3.1967_May10_Aug31.pdf,48,23/8/1967,11856,Ctenophorus,isolepis,Male,19.8,35.6,1648,SS,,-26.233611,121.216944
3.1967_May10_Aug31.pdf,48,24/8/1967,11858,Ctenophorus,isolepis,Male,20.5,34.7,938,SS,,-26.233611,121.216944
3.1967_May10_Aug31.pdf,50,24/8/1967,11861,Ctenophorus,isolepis,Male,24.2,36.6,1122,SS,,-26.233611,121.216944
3.1967_May10_Aug31.pdf,50,24/8/1967,11862,Ctenophorus,isolepis,Male,24.3,37,1129,SS,,-26.233611,121.216944
3.1967_May10_Aug31.pdf,50,24/8/1967,11863,Ctenophorus,isolepis,Male,24.5,35.5,1132,SS,,-26.233611,121.216944
3.1967_May10_Aug31.pdf,50,24/8/1967,11865,Ctenophorus,isolepis,Male,25.2,38.7,1145,SSh,,-26.233611,121.216944
3.1967_May10_Aug31.pdf,50,24/8/1967,11866,Ctenophorus,isolepis,Male,25.2,37.4,1148,SS,,-26.233611,121.216944
3.1967_May10_Aug31.pdf,50,24/8/1967,11870,Ctenophorus,isolepis,Male,26.8,37.2,1305,SS,,-26.233611,121.216944
3.1967_May10_Aug31.pdf,50,24/8/1967,11871,Ctenophorus,isolepis,Male,26.6,38.3,1412,OS,,-26.233611,121.216944
3.1967_May10_Aug31.pdf,50,24/8/1967,11872,Ctenophorus,isolepis,Male,26.6,36.8,1418,SS,,-26.233611,121.216944
3.1967_May10_Aug31.pdf,50,24/8/1967,11873,Ctenophorus,isolepis,Male,26.7,38.5,1423,OS,,-26.233611,121.216944
3.1967_May10_Aug31.pdf,50,24/8/1967,11877,Moloch,horridus,Unk,25.8,29.6,1625,SSh,Edge of spinifex,-26.233611,121.216944
3.1967_May10_Aug31.pdf,52,25/8/1967,11896,Moloch,horridus,Female,18,30.3,1024,OS,"Same female, just tracked stabbed released",-26.233611,121.216944
3.1967_May10_Aug31.pdf,52,25/8/1967,11896,Moloch,horridus,Female,14.7,21.8,845,SS,"Same female, just tracked stabbed released",-26.233611,121.216944
3.1967_May10_Aug31.pdf,52,25/8/1967,11896,Moloch,horridus,Female,16,28.4,925,SS,"Same female, just tracked stabbed released",-26.233611,121.216944
3.1967_May10_Aug31.pdf,52,25/8/1967,11896,Moloch,horridus,Female,16.5,31,955,SSh,"Same female, just tracked stabbed released",-26.233611,121.216944
3.1967_May10_Aug31.pdf,52,25/8/1967,11896,Moloch,horridus,Female,21.2,31.6,1207,SSh,"Same female, just tracked stabbed released",-26.233611,121.216944
3.1967_May10_Aug31.pdf,52,25/8/1967,11896,Moloch,horridus,Female,19,29.9,1050,SSh,"Same female, just tracked stabbed released",-26.233611,121.216944
3.1967_May10_Aug31.pdf,54,25/8/1967,11897,Ctenophorus,isolepis,Female,18.3,38.1,1054,SS,,-26.233611,121.216944
3.1967_May10_Aug31.pdf,54,25/8/1967,11901,Ctenophorus,isolepis,Male,19.8,36.8,1217,SS,,-26.233611,121.216944
3.1967_May10_Aug31.pdf,54,25/8/1967,11902,Ctenophorus,isolepis,Male,20.5,38.7,1225,OS,,-26.233611,121.216944
3.1967_May10_Aug31.pdf,54,25/8/1967,11903,Ctenophorus,isolepis,Male,21.6,37.8,1230,SS,,-26.233611,121.216944
3.1967_May10_Aug31.pdf,54,25/8/1967,11904,Ctenophorus,isolepis,Male,20.6,37.1,1302,OS,,-26.233611,121.216944
3.1967_May10_Aug31.pdf,54,25/8/1967,11905,Moloch,horridus,Male,23.1,34.6,1315,AnnS?,Under Ann in sun?,-26.233611,121.216944
3.1967_May10_Aug31.pdf,54,25/8/1967,11906,Ctenophorus,isolepis,Male,22.8,35.3,1332,SSh,,-26.233611,121.216944
3.1967_May10_Aug31.pdf,54,25/8/1967,11907,Ctenophorus,isolepis,Male,23.5,37.2,1336,OS,,-26.233611,121.216944
3.1967_May10_Aug31.pdf,54,25/8/1967,11909,Pogona,minor,Male,22.8,34.4,1608,OS,,-26.233611,121.216944
3.1967_May10_Aug31.pdf,54,25/8/1967,11911,Moloch,horridus,Male,23.2,29.5,1555,SSh,in spinifex,-26.233611,121.216944
3.1967_May10_Aug31.pdf,54,25/8/1967,11912,Moloch,horridus,Male,23.2,30.3,1555,SSh,in spinifex,-26.233611,121.216944
3.1967_May10_Aug31.pdf,54,25/8/1967,11913,Moloch,horridus,Female,23.5,32.4,1600,AnnSSh,,-26.233611,121.216944
3.1967_May10_Aug31.pdf,54,25/8/1967,11914,Moloch,horridus,Female,23.3,31.2,1605,SSh,,-26.233611,121.216944
3.1967_May10_Aug31.pdf,56,26/8/1967,11928,Ctenophorus,isolepis,Female,18,37,1045,AnnS,,-26.233611,121.216944
3.1967_May10_Aug31.pdf,56,26/8/1967,11929,Ctenophorus,isolepis,Female,16.4,35.8,1111,SS,,-26.233611,121.216944
3.1967_May10_Aug31.pdf,56,26/8/1967,11931,Ctenophorus,isolepis,Male,20,38.4,1424,SS,,-26.233611,121.216944
3.1967_May10_Aug31.pdf,56,26/8/1967,11932,Moloch,horridus,Male,20,29.3,1547,SSh,,-26.233611,121.216944
3.1967_May10_Aug31.pdf,56,26/8/1967,11933,Ctenophorus,isolepis,Female,20.3,35.9,1556,OS,,-26.233611,121.216944
3.1967_May10_Aug31.pdf,56,26/8/1967,11941,Gehyra,variegata,Unk,15.4,19,1842,OG,10'OG,-26.233611,121.216944
3.1967_May10_Aug31.pdf,56,26/8/1967,11944,Gehyra,variegata,Unk,14.9,14.6,1900,OG,18'OG,-26.233611,121.216944
3.1967_May10_Aug31.pdf,58,27/8/1967,11947,Ctenophorus,isolepis,Male,18.7,33.8,913,SS,,-26.233611,121.216944
3.1967_May10_Aug31.pdf,58,27/8/1967,11949,Ctenophorus,isolepis,Male,20.3,34.5,950,SS,,-26.233611,121.216944
3.1967_May10_Aug31.pdf,58,27/8/1967,11951,Ctenophorus,isolepis,Male,24.2,37,1230,SS,,-26.233611,121.216944
3.1967_May10_Aug31.pdf,58,27/8/1967,11952,Ctenophorus,isolepis,Male,26.8,39.3,1245,SS,,-26.233611,121.216944
3.1967_May10_Aug31.pdf,58,27/8/1967,11953,Ctenophorus,isolepis,Male,25.3,38.7,1303,OS,,-26.233611,121.216944
3.1967_May10_Aug31.pdf,58,27/8/1967,11954,Ctenophorus,isolepis,Male,26.2,36.8,1327,OS,,-26.233611,121.216944
3.1967_May10_Aug31.pdf,58,27/8/1967,11957,Ctenophorus,isolepis,Female,26.9,39,1320,SSh,,-26.233611,121.216944
3.1967_May10_Aug31.pdf,58,27/8/1967,11958,Ctenophorus,isolepis,Male,26.7,40.4,1440,SSh,,-26.233611,121.216944
3.1967_May10_Aug31.pdf,58,27/8/1967,11962,Ctenophorus,isolepis,Female,26.7,37.4,1615,SSh,,-26.233611,121.216944
3.1967_May10_Aug31.pdf,58,27/8/1967,11963,Ctenophorus,isolepis,Male,26.7,37.4,1617,OS,,-26.233611,121.216944
3.1967_May10_Aug31.pdf,58,27/8/1967,11965,Ctenophorus,isolepis,Male,24.3,34.2,1715,SSh,Edge of spinifex,-26.233611,121.216944
3.1967_May10_Aug31.pdf,60,28/8/1967,11984,Ctenophorus,isolepis,Male,18,37.8,1028,SS,,-26.233611,121.216944
3.1967_May10_Aug31.pdf,60,28/8/1967,11988,Pogona,minor,Female,23,37.5,1325,OS,On road,-26.233611,121.216944
3.1967_May10_Aug31.pdf,60,28/8/1967,11989,Pogona,minor,Unk,23,36.1,1327,OS,On road,-26.233611,121.216944
3.1967_May10_Aug31.pdf,60,28/8/1967,11990,Moloch,horridus,Male,24.1,33,1336,OS,On road,-26.233611,121.216944
3.1967_May10_Aug31.pdf,60,28/8/1967,11991,Pogona,minor,Unk,24,34.5,1343,OS,On road,-26.233611,121.216944
3.1967_May10_Aug31.pdf,60,28/8/1967,11992,Pogona,minor,Female,24.8,37.8,1345,OS,On road,-26.233611,121.216944
3.1967_May10_Aug31.pdf,60,28/8/1967,11993,Pogona,minor,Unk,25,33,1426,OS,,-26.233611,121.216944
3.1967_May10_Aug31.pdf,62,28/8/1967,11996,Gehyra,variegata,Unk,18.1,26.4,1815,OG,3'OG,-27.5725422,121.2652059
3.1967_May10_Aug31.pdf,62,30/8/1967,12002,Moloch,horridus,Male,29.9,37.3,1525,OS,,-26.233611,121.216944
3.1967_May10_Aug31.pdf,62,30/8/1967,12003,Moloch,horridus,Male,29.9,36.9,1525,OS,,,
3.1967_May10_Aug31.pdf,62,30/8/1967,12008,Gehyra,variegata,Unk,23.7,24.3,1820,OG,4'OG,,
3.1967_May10_Aug31.pdf,62,30/8/1967,12009,Gehyra,variegata,Unk,23.7,25,1821,OG,2'OG,,
3.1967_May10_Aug31.pdf,62,30/8/1967,12010,Gehyra,variegata,Unk,23.5,23.9,1833,OG,5.5'OG,,
3.1967_May10_Aug31.pdf,62,30/8/1967,12011,Gehyra,variegata,Unk,23.5,23.4,1845,OG,10'OG,,